"YEAR","MONTH","JURISDICTION","LOCATION","AGE_GROUP","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","COCAINE","ECSTASY","METHYLAMPHETAMINE","OTHER","UNKNOWN","NO_DRUGS_DETECTED","COUNT","FINES","ARRESTS","CHARGES"
2023,"01","NSW","Major Cities of Australia","0-16","No","Stage 1","0","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","0-16","No","Stage 2","0","0","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","0-16","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","17-25","No","Stage 1","0","0","1","0","0","0","0","Not applicable",8,2,0,6
2023,"01","NSW","Major Cities of Australia","17-25","No","Stage 1","0","1","0","0","0","0","0","Not applicable",50,26,0,24
2023,"01","NSW","Major Cities of Australia","17-25","No","Stage 1","0","1","1","0","0","0","0","Not applicable",5,2,0,3
2023,"01","NSW","Major Cities of Australia","17-25","No","Stage 1","1","0","0","0","0","0","0","Not applicable",10,0,0,10
2023,"01","NSW","Major Cities of Australia","17-25","No","Stage 1","1","0","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","17-25","No","Stage 1","1","1","0","0","0","0","0","Not applicable",2,1,0,1
2023,"01","NSW","Major Cities of Australia","17-25","No","Stage 2","0","0","0","0","0","0","0","Not applicable",22,15,0,7
2023,"01","NSW","Major Cities of Australia","17-25","No","Stage 2","0","0","1","0","0","0","0","Not applicable",6,1,0,5
2023,"01","NSW","Major Cities of Australia","17-25","No","Stage 2","0","1","0","0","0","0","0","Not applicable",29,12,0,17
2023,"01","NSW","Major Cities of Australia","17-25","No","Stage 2","0","1","1","0","0","0","0","Not applicable",6,2,0,4
2023,"01","NSW","Major Cities of Australia","17-25","No","Stage 2","1","0","0","0","0","0","0","Not applicable",12,1,0,11
2023,"01","NSW","Major Cities of Australia","17-25","No","Stage 2","1","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","17-25","Yes","Stage 3","0","0","1","0","0","0","0","Not applicable",5,1,0,4
2023,"01","NSW","Major Cities of Australia","17-25","Yes","Stage 3","0","0","1","1","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Major Cities of Australia","17-25","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",45,24,0,21
